user,train_resources,test_resources,recommendations,precision,recall,hit_rate,ndcg
sullivan,30,7,7,0.7,1.0,1.0,1.0000000000000002
zubeyde,30,7,10,0.7,1.0,1.0,1.0000000000000002
wilfried,30,7,10,0.7,1.0,1.0,1.0000000000000002
muriel,30,8,8,0.8,1.0,1.0,1.0000000000000002
justine,30,7,7,0.7,1.0,1.0,1.0000000000000002
paulo,30,7,7,0.7,1.0,1.0,1.0000000000000002
d.colombet,30,7,7,0.7,1.0,1.0,1.0000000000000002
geraldine,30,7,7,0.7,1.0,1.0,1.0000000000000002
raphael,30,7,7,0.7,1.0,1.0,1.0000000000000002
kjetil,30,7,7,0.7,1.0,1.0,1.0000000000000002
camille,30,8,10,0.7,0.875,1.0,0.9202054614375519
jean-fabrice,127,32,10,1.0,0.3125,1.0,1.0
theo,30,7,7,0.7,1.0,1.0,1.0000000000000002
regis,30,7,7,0.7,1.0,1.0,1.0000000000000002
helen,30,7,7,0.7,1.0,1.0,1.0000000000000002
florent,30,7,7,0.7,1.0,1.0,1.0000000000000002
ralf,30,7,7,0.7,1.0,1.0,1.0000000000000002
maxime,30,8,8,0.8,1.0,1.0,1.0000000000000002
sylvain,30,7,7,0.7,1.0,1.0,1.0000000000000002
luc,131,33,10,1.0,0.30303030303030304,1.0,1.0
yoni,30,7,7,0.7,1.0,1.0,1.0000000000000002
mustapha,30,7,7,0.7,1.0,1.0,1.0000000000000002
laurence,30,7,7,0.7,1.0,1.0,1.0000000000000002
remi,30,7,7,0.7,1.0,1.0,1.0000000000000002
jeremy,30,7,7,0.7,1.0,1.0,1.0000000000000002
moller,30,7,7,0.7,1.0,1.0,1.0000000000000002
willy,30,7,7,0.7,1.0,1.0,1.0000000000000002
ljoudi,30,7,7,0.7,1.0,1.0,1.0000000000000002
hammouti,30,8,10,0.8,1.0,1.0,1.0000000000000002
arun,30,7,10,0.7,1.0,1.0,1.0000000000000002
koen,30,7,7,0.7,1.0,1.0,1.0000000000000002
howard,30,7,7,0.7,1.0,1.0,1.0000000000000002
justyna,30,7,7,0.7,1.0,1.0,1.0000000000000002
jack,30,8,9,0.8,1.0,1.0,1.0000000000000002
adrien,33,8,10,0.8,1.0,1.0,1.0000000000000002
margarita,30,7,7,0.7,1.0,1.0,1.0000000000000002
loïc,30,7,7,0.7,1.0,1.0,1.0000000000000002
robin,30,7,7,0.7,1.0,1.0,1.0000000000000002
olivier,30,8,7,0.7,0.875,1.0,0.9202054614375519
alex,30,7,7,0.7,1.0,1.0,1.0000000000000002
danielle,30,7,7,0.7,1.0,1.0,1.0000000000000002
nathalie,31,8,9,0.8,1.0,1.0,1.0000000000000002
brandon,30,7,7,0.7,1.0,1.0,1.0000000000000002
moussa,30,7,7,0.7,1.0,1.0,1.0000000000000002
izabel,30,8,8,0.8,1.0,1.0,1.0000000000000002
diego,30,7,7,0.7,1.0,1.0,1.0000000000000002
dalila,30,7,7,0.7,1.0,1.0,1.0000000000000002
lberibos,30,7,7,0.7,1.0,1.0,1.0000000000000002
knut,30,7,7,0.7,1.0,1.0,1.0000000000000002
karen,30,8,8,0.8,1.0,1.0,1.0000000000000002
nehla,30,7,7,0.7,1.0,1.0,1.0000000000000002
horacio,30,7,7,0.7,1.0,1.0,1.0000000000000002
mohammed,30,7,7,0.7,1.0,1.0,1.0000000000000002
joshua,30,7,7,0.7,1.0,1.0,1.0000000000000002
farida,30,7,7,0.7,1.0,1.0,1.0000000000000002
graeme,30,7,7,0.7,1.0,1.0,1.0000000000000002
miguel,30,7,7,0.7,1.0,1.0,1.0000000000000002
jorge,30,7,7,0.7,1.0,1.0,1.0000000000000002
biso,30,7,7,0.7,1.0,1.0,1.0000000000000002
martin,30,7,7,0.7,1.0,1.0,1.0000000000000002
